time,open,high,low,close,Fair Value,Bottom Band,Top Band,Likely Bottom,Likely Top,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,AB2 Bull Put,AB2 Bear Call,AB2 Iron Condor,AB2 Conservative,LT Fast Trackline,LT Slow Trackline,AB1 Strong Bull,AB1 Strong Bear,AB1 Exit FTL,AB1 Exit Time,Stage 1 Armed
1624555800,143.4,143.89,143.38,143.44,68.06838966492184,54.45471173193747,102.10258449738276,,143.44,30,20,15,15,142.6553655801268,144.0094,145.3634344198732,144.29251860872208,142.63114224063608,0,0,0,0,134.80484250902683,138.42856470588234,142.05228690273785,142.64070831548014,144.5924012011517,0,0,0,0,141.81810254870507,144.08662352941178,146.3551445101185,144.29251860872208,142.63114224063608,0,0,0,0,139.32108705946922,141.50875294117657,143.6964188228839,144.23646235508937,141.29156078952812,0,0,0,0,8.229260792055099,,,,,,,144.23646235508937,141.29156078952812,0,0,0,0,144.23646235508937,141.29156078952812,0,0,0,1,0
1624627800,143.3,143.39,141.53,141.61,70.09441368107156,56.07553094485725,105.14162052160734,,141.61,10,0,10,-5,142.4559951078764,143.7530000000001,143.7530000000001,143.02639494182338,142.63114224063608,0,0,0,0,134.80484250902683,138.42856470588234,142.05228690273785,142.64070831548014,144.5924012011517,0,0,0,0,141.80962420909023,144.02883529411758,144.02883529411758,143.02639494182338,142.63114224063608,0,0,0,0,139.32108705946922,141.50875294117657,143.6964188228839,144.23646235508937,141.29156078952812,0,0,0,0,8.229260792055099,,,,,,,144.23646235508937,141.29156078952812,0,0,0,0,144.23646235508937,141.29156078952812,0,0,0,0,0
1624642200,141.6,142.11,141.38,142.05,70.09441368107156,56.07553094485725,105.14162052160734,,142.05,15,10,15,-20,142.27280540666243,143.55848235294118,143.55848235294118,142.57165244597886,142.63114224063608,0,0,0,0,134.80484250902683,138.42856470588234,142.05228690273785,142.64070831548014,144.5924012011517,0,0,0,0,141.8259046146538,143.99796470588237,143.99796470588237,142.57165244597886,142.63114224063608,0,0,0,0,139.5196775405626,141.7316823529412,143.94368716531977,143.13491782899766,141.29156078952812,0,0,0,0,-7.930273257483227,,,,,,,143.13491782899766,141.29156078952812,0,0,0,0,143.13491782899766,141.29156078952812,0,0,0,0,0
1624887000,142.7,143.8,142.7,143.65,70.14418045034299,56.11534436027439,105.21627067551448,,143.65,10,10,10,45,142.34227464194225,143.62525882352932,144.9082430051164,142.6633744811168,142.63114224063608,0,0,0,0,134.80484250902683,138.42856470588234,142.05228690273785,142.64070831548014,144.5924012011517,0,0,0,0,141.93274649055192,144.08923529411774,146.24572409768356,142.6633744811168,142.63114224063608,0,0,0,0,139.5196775405626,141.7316823529412,143.94368716531977,143.13491782899766,141.29156078952812,0,0,0,0,7.069726742516773,,,,,,,143.13491782899766,141.29156078952812,0,0,0,0,143.13491782899766,141.29156078952812,0,0,0,0,0
1624901400,143.65,143.68,143.375,143.44,70.14418045034299,56.11534436027439,105.21627067551448,,143.44,15,10,15,30,142.3848451241205,143.65928235294123,144.93371958176198,142.7247463638201,142.63114224063608,0,0,0,0,135.68442814536547,139.07592941176478,142.46743067816408,142.64070831548014,144.5924012011517,0,0,0,0,142.02231236394985,144.15668235294117,146.2910523419325,142.7247463638201,142.63114224063608,0,0,0,0,139.7432325923315,142.0204705882352,144.29770858413892,143.13491782899766,141.29156078952812,0,0,0,0,7.069726742516773,,,,,,,143.13491782899766,141.29156078952812,0,0,0,0,143.13491782899766,141.29156078952812,0,0,0,0,0
1624973400,143.12,143.55,143.04,143.47,69.72952447592436,55.7836195807395,104.59428671388655,,143.47,10,15,10,25,142.46267124256732,143.7426470588235,145.0226228750797,142.7324853851306,142.63114224063608,0,0,0,0,135.68442814536547,139.07592941176478,142.46743067816408,142.64070831548014,144.5924012011517,0,0,0,0,142.11233145553288,144.2362470588236,146.36016266211433,142.7324853851306,142.63114224063608,0,0,0,0,139.7432325923315,142.0204705882352,144.29770858413892,143.13491782899766,141.29156078952812,0,0,0,0,7.069726742516773,,,,,,,143.13491782899766,141.29156078952812,0,0,0,0,143.13491782899766,141.29156078952812,0,0,0,0,0
1624987800,143.47,143.72,143.39,143.69,69.72952447592436,55.7836195807395,104.59428671388655,,143.69,15,20,15,30,142.53577667467158,143.81902352941185,145.10227038415212,142.85418382697483,142.63114224063608,0,0,0,0,135.68442814536547,139.07592941176478,142.46743067816408,142.64070831548014,144.5924012011517,0,0,0,0,142.2064435923403,144.31698823529402,146.42753287824775,142.85418382697483,142.63114224063608,0,0,0,0,139.95889572965282,142.30198823529412,144.6450807409354,143.13491782899766,141.29156078952812,0,0,0,0,7.069726742516773,,,,,,,143.13491782899766,141.29156078952812,0,0,0,0,143.13491782899766,141.29156078952812,0,0,0,0,0
1625059800,144.27,144.92,144.17,144.38,72.63542039716532,58.10833631773226,108.95313059574798,,144.38,10,15,10,25,142.70818685906002,144.0265999999999,145.34501314093976,143.77697483040177,142.63114224063608,0,0,0,0,135.68442814536547,139.07592941176478,142.46743067816408,142.64070831548014,144.5924012011517,0,0,0,0,142.34226391738056,144.4746705882352,146.60707725908983,143.77697483040177,142.63114224063608,0,0,0,0,139.95889572965282,142.30198823529412,144.6450807409354,143.21090476534698,141.29156078952812,0,0,0,0,7.079810536966975,,,,,,,143.21090476534698,141.29156078952812,0,0,0,0,143.21090476534698,141.29156078952812,0,0,0,0,0
1625074200,144.39,144.76,144.08,144.32,72.63542039716532,58.10833631773226,108.95313059574798,,144.32,30,15,15,15,142.81251746884982,144.11681176470597,145.42110606056212,143.77697483040177,142.63114224063608,0,0,0,0,136.4876958247207,139.74023529411753,142.99277476351435,142.64070831548014,144.5924012011517,0,0,0,0,142.47613150262876,144.6315764705883,146.78702143854784,143.77697483040177,142.63114224063608,0,0,0,0,140.2184596463913,142.647388235294,145.07631682419668,143.21090476534698,141.29156078952812,0,0,0,0,7.079810536966975,,,,,,,143.21090476534698,141.29156078952812,0,0,0,0,143.21090476534698,141.29156078952812,0,0,0,0,0
1625146200,143.96,144.31,143.54,143.64,70.86086077844655,56.68868862275724,106.29129116766983,,143.64,10,15,10,10,142.7943770908044,144.04377647058823,145.29317585037205,143.77697483040177,142.63114224063608,0,0,0,0,136.4876958247207,139.74023529411753,142.99277476351435,142.64070831548014,144.5924012011517,0,0,0,0,142.56081564096942,144.71427058823528,146.86772553550114,143.77697483040177,142.63114224063608,0,0,0,0,140.2184596463913,142.647388235294,145.07631682419668,143.21090476534698,141.29156078952812,0,0,0,0,7.079810536966975,,,,,,,143.21090476534698,141.29156078952812,0,0,0,0,143.21090476534698,141.29156078952812,0,0,0,0,0
