time,open,high,low,close,Effective LOI,LOI Threshold,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,BTC 50 SMA,200-Week SMA,AB4 Entry,MTF SMA,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1671460200,20.93,20.96,20.79,20.85,-7.445231733705974,-40,20.986709677419398,10.493354838709699,,,,,0,0,0,0,0,0,26,0,,,0,0,1,0,17532.820000000087,26.261850000000003,0,26.261850000000003,21.254035290803397,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,21.254035290803397,20.100297948889928,21.254035290803397,,1,1,0,0,21.254035290803397,0,21.254035290803397,0,1,2.313576128713608,0.07703848971064414,0,0,0,0,0,0,0.29403529080339685,2.313576128713608,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,-0.1214847014455502,0,0,0,-0.1214847014455502,1,-0.044579611591479384,-0.4145381165911347,0,0,0,0,18.13322610504337,19.7566117647059,21.379997424368433,21.307685567013593,21.291283084085595,0,0,0,0,20.858779750649457,21.231329411764715,21.231329411764715,21.05258052468829,21.267890805091046,0,0,0,0,20.779819208698754,22.050917647058846,22.050917647058846,21.254035290803397,20.100297948889928,0,0,0,0,0.7884480038830238,,87.5691357489098,87.53630196157359,40.07394323147656,0.5494738155684809
1671474600,20.83,20.83,20.685,20.74,-9.37996603000083,-40,20.9787096774194,10.4893548387097,,,,,0,0,0,0,0,0,27,0,,,0,0,1,0,17532.820000000087,26.261850000000003,0,26.261850000000003,21.11481848431744,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,21.11481848431744,20.100297948889928,21.11481848431744,,0,0,0,0,21.11481848431744,0,21.11481848431744,0,1,2.1837116297768713,0.07703848971064414,0,0,0,0,0,0,0.2848184843174401,2.1837116297768713,-40,-60,10,30,50,,,,,,,,,,,-10,-10,15,-0.2013828813296752,0,0,0,-0.2013828813296752,1,-0.079898179884125,-0.2013828813296752,0,1,0,0,18.13322610504337,19.7566117647059,21.379997424368433,21.307685567013593,21.291283084085595,0,0,0,0,20.841119618903146,21.213199999999986,21.213199999999986,20.910975044246534,21.267890805091046,0,0,0,0,20.781243301232028,22.03501176470586,22.03501176470586,21.11481848431744,20.100297948889928,0,0,0,0,0.7884480038830238,,,,,0.5470205067855675
1671546600,20.62,20.9,20.62,20.76,-8.856020680531536,-40,20.9787096774194,10.4893548387097,,,,,0,0,0,0,0,0,28,0,,,0,0,1,0,17449.18000000009,26.261850000000003,0,26.261850000000003,21.11481848431744,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,21.11481848431744,20.100297948889928,21.11481848431744,,0,0,0,0,21.11481848431744,0,21.11481848431744,0,1,2.1837116297768713,0.07703848971064414,0,0,0,0,0,0,0.28447430686619424,2.1837116297768713,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,-0.2013828813296752,0,0,0,-0.2013828813296752,1,0,-0.18823898646301618,0,0,0,0,18.13322610504337,19.7566117647059,21.379997424368433,21.307685567013593,21.291283084085595,0,0,0,0,20.832201935781242,21.200882352941182,21.200882352941182,20.910975044246534,21.267890805091046,0,0,0,0,20.781243301232028,22.03501176470586,22.03501176470586,21.11481848431744,20.100297948889928,0,0,0,0,0.7884480038830238,,,,,0.5669562718859965
1671561000,20.78,20.82,20.74,20.74,-9.243304800748064,-40,20.97264516129037,10.486322580645185,,,,,0,0,0,0,0,0,29,0,,,0,0,1,0,17449.18000000009,26.261850000000003,0,26.261850000000003,21.089868999232895,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,21.089868999232895,20.100297948889928,21.089868999232895,,1,1,0,0,21.089868999232895,0,21.089868999232895,0,1,0.9616128846167831,0.07703848971064414,0,0,0,0,0,0,0.26986899923289476,0.9616128846167831,-40,-60,10,30,50,,,,,,,,,,,-20,-20,10,-0.2013828813296752,0,0,0,-0.2013828813296752,1,0,-0.12447779147560437,0,0,0,0,18.25387886231676,19.852705882352954,21.451532902389147,21.307685567013593,21.291283084085595,0,0,0,0,20.81050930318421,21.180741176470598,21.180741176470598,20.910975044246534,21.267890805091046,0,0,0,0,20.777690004587313,22.00435294117646,22.00435294117646,21.089868999232895,20.100297948889928,0,0,0,0,0.7836312736185794,,,,,0.5380753321953888
1671633000,20.85,21.05,20.85,20.98,-2.8182961898830996,-40,20.97264516129037,10.486322580645185,,,,,0,0,0,0,0,0,30,0,,,0,0,1,0,17377.18000000009,26.261850000000003,0,26.261850000000003,21.089868999232895,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,21.089868999232895,20.100297948889928,21.089868999232895,,0,0,0,0,21.089868999232895,0,21.089868999232895,0,1,0.9616128846167831,0.07703848971064414,0,0,0,0,0,0,0.27273549928768814,0.9616128846167831,-40,-60,10,30,50,,,,,,,,,,,0,0,10,-0.2013828813296752,0,0,0,-0.2013828813296752,1,0,-0.12447779147560437,0,0,0,0,18.25387886231676,19.852705882352954,21.451532902389147,21.307685567013593,21.291283084085595,0,0,0,0,20.80404237429361,21.17410588235294,21.17410588235294,20.910975044246534,21.267890805091046,0,0,0,0,20.777690004587313,22.00435294117646,22.00435294117646,21.089868999232895,20.100297948889928,0,0,0,0,0.7836312736185794,,,,,0.576472011126379
1671647400,20.975,21.09,20.97,21.01,-2.0582867187324823,-40,20.971483870967788,10.485741935483894,,,,,0,0,0,0,0,0,31,0,,,0,0,1,0,17377.18000000009,26.261850000000003,0,26.261850000000003,21.089868999232895,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,21.089868999232895,20.100297948889928,21.089868999232895,,1,0,0,0,21.089868999232895,0,21.089868999232895,0,1,0.9616128846167831,0.07703848971064414,0,0,0,0,0,0,0.26182582076713906,0.9616128846167831,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,-0.2013828813296752,0,0,0,-0.2013828813296752,1,0,-0.07989817988412498,0,0,0,0,18.25387886231676,19.852705882352954,21.451532902389147,21.307685567013593,21.291283084085595,0,0,0,0,20.81259030723602,21.17869411764707,21.17869411764707,20.910975044246534,21.267890805091046,0,0,0,0,20.78938153447181,21.980799999999995,23.17221846552818,21.089868999232895,20.100297948889928,0,0,0,0,0.7836312736185794,,,,,0.5607938609834457
1671719400,20.64,20.64,20.26,20.26,-15.444916562681328,-40,20.971483870967788,10.485741935483894,,,,,0,0,0,0,0,0,32,0,,,0,1,1,0,17304.06000000009,26.261850000000003,0,26.261850000000003,20.93669540499806,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,20.93669540499806,20.100297948889928,20.93669540499806,,0,0,0,0,20.93669540499806,0,20.93669540499806,0,1,0.8187291871111054,0.07703848971064414,0,0,0,0,0,0,0.29669540499805763,0.8187291871111054,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,-0.3,0,0,0,-0.3,1,-0.0986171186703248,-0.09861711867032479,0,0,0,0,18.25387886231676,19.852705882352954,21.451532902389147,21.307685567013593,21.291283084085595,0,0,0,0,20.751236969164335,21.130341176470587,21.130341176470587,20.652228083137043,21.267890805091046,0,0,0,0,20.78938153447181,21.980799999999995,23.17221846552818,20.93669540499806,20.100297948889928,0,0,0,0,0.7836312736185794,,,,,0.5884728413355271
1671733800,20.25,20.53,20.25,20.525,-9.159271995031439,-40,20.966516129032303,10.483258064516152,,,,,0,0,0,0,0,0,33,0,,,0,1,1,0,17304.06000000009,26.261850000000003,0,26.261850000000003,20.825502876069628,20.100297948889928,0,1,0,0,0,0,0,0,0,0,0,0,20.825502876069628,20.100297948889928,20.825502876069628,,0,1,0,0,20.825502876069628,0,20.825502876069628,0,0,-7.956329147116111,-0.8600299084848964,0,0,0,0,0,0,0.29550287606962505,-7.956329147116111,-40,-60,10,30,50,,,,,,,,,,,-15,-30,-5,-0.18,0,0,0,-0.18,1,0.12,0.021382881329675196,0,1,0,0,18.371243423431167,19.940305882352963,19.940305882352963,21.108171681662274,21.291283084085595,0,0,0,0,20.7013999399768,21.089058823529424,21.089058823529424,20.652228083137043,21.262963333693953,0,0,0,0,20.761863387771538,21.90861176470588,21.90861176470588,20.825502876069628,20.100297948889928,0,0,0,0,0.7779875936833452,,,,,0.5604351101108017
1671805800,20.49,20.575,20.345,20.47,-10.017582542356678,-40,20.966516129032303,10.483258064516152,,,,,0,0,0,0,0,0,34,0,,,0,1,1,0,17237.40000000009,26.261850000000003,0,26.261850000000003,20.825502876069628,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,20.825502876069628,20.100297948889928,20.825502876069628,,0,0,0,0,20.825502876069628,0,20.825502876069628,0,0,-7.956329147116111,-0.8600299084848964,0,0,0,0,0,0,0.290824099207509,-7.956329147116111,-40,-60,10,30,50,,,,,,,,,,,-15,-15,10,-0.3,0,0,0,-0.3,1,-0.12,-0.0986171186703248,0,1,0,0,18.371243423431167,19.940305882352963,19.940305882352963,21.108171681662274,21.291283084085595,0,0,0,0,20.64709060127483,21.044388235294115,21.044388235294115,20.652228083137043,21.262963333693953,0,0,0,0,20.761863387771538,21.90861176470588,21.90861176470588,20.825502876069628,20.100297948889928,0,0,0,0,0.7779875936833452,,,,,0.5686898572886636
1671820200,20.48,20.52,20.44,20.515,-8.926404977225708,-40,20.95400000000005,10.477000000000025,,,,,0,0,0,0,0,0,35,0,,,0,1,1,0,17237.40000000009,26.264800000000005,0,26.264800000000005,20.7957652349784,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,20.7957652349784,20.100297948889928,20.7957652349784,,0,0,0,0,20.7957652349784,0,20.7957652349784,0,0,-8.465558743036462,-1.245221644708522,0,0,0,0,0,0,0.2757652349784011,-8.465558743036462,-40,-60,10,30,50,,,,,,,,,,,-20,-35,-5,-0.14416008042722894,0,0,0,-0.14416008042722894,1,0.15583991957277105,0.05722280090244625,0,1,0,0,18.371243423431167,19.940305882352963,19.940305882352963,21.026159418686397,21.291283084085595,0,0,0,0,20.5924477644776,20.997776470588235,20.997776470588235,20.652228083137043,21.0741802384301,0,0,0,0,20.732521033230462,21.84291764705884,21.84291764705884,20.7957652349784,20.100297948889928,0,0,0,0,0.7779875936833452,,,,,0.5624382980296059
1672151400,20.52,20.52,20.275,20.325,-12.062648042366853,-40,20.95400000000005,10.477000000000025,,,,,0,0,0,0,0,0,36,0,,,0,1,1,0,16913.26000000009,26.264800000000005,0,26.264800000000005,20.79356771819423,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,20.79356771819423,20.100297948889928,20.79356771819423,,1,0,0,0,20.79356771819423,0,20.79356771819423,0,0,-8.467608635023534,-1.245221644708522,0,0,0,0,0,0,0.27356771819422965,-8.467608635023534,-40,-60,10,30,50,,,,,,,,,,,-15,-15,15,-0.29424845552196177,0,0,0,-0.29424845552196177,1,-0.15008837509473283,-0.09286557419228658,0,1,0,0,18.371243423431167,19.940305882352963,19.940305882352963,21.026159418686397,21.291283084085595,0,0,0,0,20.516920787857238,20.93564705882353,20.93564705882353,20.557426489550974,21.0741802384301,0,0,0,0,20.732521033230462,21.84291764705884,21.84291764705884,20.79356771819423,20.100297948889928,0,0,0,0,0.7779875936833452,,,,,0.5975566940863068
1672165800,20.315,20.335,20.245,20.28,-12.787385613364386,-40,20.941032258064567,10.470516129032283,,,,,0,0,0,0,0,0,37,0,,,0,1,1,0,16913.26000000009,26.264800000000005,0,26.264800000000005,20.595455738323214,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,20.595455738323214,20.100297948889928,20.595455738323214,,0,1,0,0,20.595455738323214,0,20.595455738323214,0,0,-9.049186992919271,-1.5626417614462194,0,0,0,0,0,0,0.2604557383232132,-9.049186992919271,-40,-60,10,30,50,,,,,,,,,,,-20,-35,0,-0.3,0,0,0,-0.3,1,-0.0057515444780382174,0,0,0,0,0,18.519156959622,20.037482352941183,20.037482352941183,20.95857660306594,21.291283084085595,0,0,0,0,20.433990260765025,20.86598823529412,20.86598823529412,20.481020799663852,21.07316736425652,0,0,0,0,20.686182471993845,21.72741176470588,21.72741176470588,20.595455738323214,20.100297948889928,0,0,0,0,0.7716231972997851,,,,,0.5653361707979387
1672237800,20.41,20.41,20.09,20.2,-14.100388461631212,-40,20.941032258064567,10.470516129032283,,,,,0,0,0,0,0,0,38,0,,,0,1,1,0,16835.46000000009,26.264800000000005,0,26.264800000000005,20.595455738323214,20.100297948889928,0,0,0,0,0,0,0,0,0,0,0,0,20.595455738323214,20.100297948889928,20.595455738323214,,0,0,0,0,20.595455738323214,0,20.595455738323214,0,0,-9.049186992919271,-1.5626417614462194,0,0,0,0,0,0,0.26470889987155516,-9.049186992919271,-40,-60,10,30,50,,,,,,,,,,,-15,-15,15,-0.3,0,0,0,-0.3,1,0,-0.12,0,0,0,0,18.519156959622,20.037482352941183,20.037482352941183,20.95857660306594,21.291283084085595,0,0,0,0,20.345293248705623,20.793058823529403,20.793058823529403,20.371109771138727,21.07316736425652,0,0,0,0,20.686182471993845,21.72741176470588,21.72741176470588,20.595455738323214,20.100297948889928,0,0,0,0,0.7716231972997851,,,,,0.6081944541416487
